,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
85,1517153057.88,62.0,0.11372549019607843,0.1450980392156863,214.0625,-9.125,26.0,0,0,0,0.0,-1.0625,-40.6875,-28.25,-0.11888888888900001,0.0177777777778,-0.013333333333299998,-1.0,1.12,-1.19,256.35000014305115,4.690000057220459
86,1517153062.61,52.0,0.13333333333333333,0.1411764705882353,214.0,-7.8125,26.75,0,0,0,0.0,-4.25,-40.0,-28.1875,0.0155555555556,0.023333333333299996,-0.008888888888889999,-1.78,0.67,0.26,261.07999992370605,4.729999780654907
87,1517153067.29,30.0,0.2235294117647059,0.14901960784313725,217.5,-10.9375,25.3125,0,0,0,0.0,-6.0,-39.375,-27.6875,-0.103333333333,-0.0211111111111,-0.104444444444,-1.12,-0.22,-0.56,265.75999999046326,4.680000066757202
88,1517153071.99,4.0,0.5490196078431373,0.1803921568627451,231.0,-13.0,21.1875,0,0,0,0.0,-12.875,-16.75,-23.0,0.174444444444,0.173333333333,-0.452222222222,0.51,-1.78,0.65,270.460000038147,4.700000047683716
89,1517153076.64,25.0,0.6509803921568628,0.23921568627450981,311.875,-7.5625,18.5,0,0,0,0.0,-9.5625,-15.0625,-22.5,0.0677777777778,0.0177777777778,-0.0677777777778,0.58,-0.56,-0.96,275.1100001335144,4.650000095367432
90,1517153081.29,43.0,0.6745098039215687,0.22745098039215686,331.75,-7.625,19.0625,0,0,0,0.0,-1.5625,-20.1875,-21.6875,0.205555555556,0.013333333333299998,0.0488888888889,0.11,1.6,-0.52,279.75999999046326,4.6499998569488525
91,1517153085.97,55.0,0.5607843137254902,0.21568627450980393,344.625,-7.8125,18.6875,0,0,0,0.0,-12.75,-74.875,-38.1875,0.256666666667,-0.0155555555556,0.0522222222222,-1.05,1.83,1.03,284.44000005722046,4.680000066757202
92,1517153090.61,58.0,0.5490196078431373,0.2196078431372549,346.0,-7.25,19.6875,0,0,0,0.0,-13.375,-74.875,-40.0,-0.16555555555600002,-0.05,-0.0488888888889,-0.14,0.05,-0.7,289.07999992370605,4.639999866485596
93,1517153095.3,61.0,0.22745098039215686,0.18823529411764706,346.4375,-7.0,20.4375,0,0,0,0.0,-11.25,-72.5625,-38.5625,0.0333333333333,-0.0033333333333300003,0.05,-0.62,0.52,0.85,293.7699999809265,4.690000057220459
94,1517153099.96,63.0,0.3058823529411765,0.15294117647058825,339.375,-7.125,20.4375,0,0,0,0.0,-14.6875,-56.875,-32.1875,-0.0177777777778,-0.0577777777778,0.104444444444,-1.67,1.45,0.77,298.4300000667572,4.6600000858306885
